State,Division,Valid Apps Received,Postal Votes Returned
ACT,Bean,6331,418
ACT,Canberra,7923,446
ACT,Fenner,6157,368
NSW,Banks,8645,58
NSW,Barton,7837,37
NSW,Bennelong,11017,58
NSW,Berowra,9345,64
NSW,Blaxland,7377,58
NSW,Bradfield,10022,70
NSW,Calare,6535,0
NSW,Chifley,8367,79
NSW,Cook,10228,93
NSW,Cowper,7804,0
NSW,Cunningham,8188,157
NSW,Dobell,8608,183
NSW,Eden-Monaro,8840,414
NSW,Farrer,9586,670
NSW,Fowler,7220,55
NSW,Gilmore,9083,57
NSW,Grayndler,7914,190
NSW,Greenway,9039,73
NSW,Hughes,7966,67
NSW,Hume,10827,257
NSW,Hunter,9133,744
NSW,Kingsford Smith,8697,273
NSW,Lindsay,10337,122
NSW,Lyne,8671,652
NSW,Macarthur,8682,52
NSW,Mackellar,8783,94
NSW,Macquarie,7965,57
NSW,McMahon,8198,57
NSW,Mitchell,13198,77
NSW,New England,7101,95
NSW,Newcastle,9477,740
NSW,North Sydney,11215,121
NSW,Page,8467,108
NSW,Parkes,8246,102
NSW,Parramatta,10168,62
NSW,Paterson,8736,828
NSW,Reid,10253,101
NSW,Richmond,8102,46
NSW,Riverina,7204,516
NSW,Robertson,9029,158
NSW,Shortland,9899,668
NSW,Sydney,10875,360
NSW,Warringah,8741,47
NSW,Watson,7853,72
NSW,Wentworth,10172,360
NSW,Werriwa,9139,36
NSW,Whitlam,8245,405
NT,Lingiari,2254,0
NT,Solomon,3257,0
QLD,Blair,14867,589
QLD,Bonner,15479,695
QLD,Bowman,15641,817
QLD,Brisbane,14251,888
QLD,Capricornia,10284,2
QLD,Dawson,7710,222
QLD,Dickson,16085,840
QLD,Fadden,15930,344
QLD,Fairfax,11339,0
QLD,Fisher,14489,0
QLD,Flynn,11926,1
QLD,Forde,15798,656
QLD,Griffith,12956,578
QLD,Groom,16644,493
QLD,Herbert,11216,90
QLD,Hinkler,10834,161
QLD,Kennedy,9171,0
QLD,Leichhardt,9366,0
QLD,Lilley,12814,806
QLD,Longman,16434,782
QLD,Maranoa,15581,646
QLD,McPherson,10929,790
QLD,Moncrieff,13801,571
QLD,Moreton,12223,593
QLD,Oxley,10827,573
QLD,Petrie,15577,782
QLD,Rankin,12444,687
QLD,Ryan,12105,601
QLD,Wide Bay,11083,56
QLD,Wright,16570,529
SA,Adelaide,14036,6
SA,Barker,10321,6
SA,Boothby,14207,0
SA,Grey,11744,0
SA,Hindmarsh,13758,0
SA,Kingston,12937,0
SA,Makin,12437,0
SA,Mayo,12672,0
SA,Spence,12919,0
SA,Sturt,17640,66
TAS,Bass,9585,0
TAS,Braddon,6760,0
TAS,Clark,7596,0
TAS,Franklin,8458,0
TAS,Lyons,9042,0
VIC,Aston,12297,1193
VIC,Ballarat,8731,1
VIC,Bendigo,9884,0
VIC,Bruce,11290,793
VIC,Calwell,9835,0
VIC,Casey,12472,366
VIC,Chisholm,13123,1044
VIC,Cooper,10040,2
VIC,Corangamite,12319,340
VIC,Corio,10809,691
VIC,Deakin,15192,1220
VIC,Dunkley,12083,74
VIC,Flinders,11649,350
VIC,Fraser,10385,705
VIC,Gellibrand,9949,0
VIC,Gippsland,7263,0
VIC,Goldstein,12853,695
VIC,Gorton,11502,810
VIC,Hawke,10552,86
VIC,Higgins,12524,0
VIC,Holt,9492,219
VIC,Hotham,11619,792
VIC,Indi,10415,1
VIC,Isaacs,11010,482
VIC,Jagajaga,10725,0
VIC,Kooyong,12608,0
VIC,La Trobe,13050,876
VIC,Lalor,9049,0
VIC,Macnamara,15932,0
VIC,Mallee,10269,0
VIC,Maribyrnong,12738,1069
VIC,McEwen,12737,0
VIC,Melbourne,11709,0
VIC,Menzies,14101,1103
VIC,Monash,8744,0
VIC,Nicholls,7734,0
VIC,Scullin,10394,0
VIC,Wannon,9293,1
VIC,Wills,10938,351
WA,Brand,9388,0
WA,Burt,8414,0
WA,Canning,9207,0
WA,Cowan,9556,0
WA,Curtin,11061,0
WA,Durack,8211,0
WA,Forrest,7946,0
WA,Fremantle,9570,0
WA,Hasluck,9907,0
WA,Moore,10361,0
WA,O'Connor,9077,0
WA,Pearce,9626,0
WA,Perth,10840,0
WA,Swan,10063,0
WA,Tangney,10987,0
