State,Division,Valid Apps Received,Postal Votes Returned
ACT,Bean,5860,0
ACT,Canberra,7403,0
ACT,Fenner,5713,0
NSW,Banks,7859,0
NSW,Barton,7074,0
NSW,Bennelong,10105,0
NSW,Berowra,8579,0
NSW,Blaxland,6657,0
NSW,Bradfield,9045,0
NSW,Calare,6128,0
NSW,Chifley,7589,0
NSW,Cook,9500,0
NSW,Cowper,7224,0
NSW,Cunningham,7621,2
NSW,Dobell,8000,1
NSW,Eden-Monaro,8229,0
NSW,Farrer,9089,0
NSW,Fowler,6497,0
NSW,Gilmore,8377,0
NSW,Grayndler,7282,0
NSW,Greenway,8189,0
NSW,Hughes,7255,0
NSW,Hume,9957,0
NSW,Hunter,8523,0
NSW,Kingsford Smith,7982,0
NSW,Lindsay,9569,0
NSW,Lyne,8108,0
NSW,Macarthur,7882,0
NSW,Mackellar,8082,0
NSW,Macquarie,7418,0
NSW,McMahon,7435,0
NSW,Mitchell,12217,0
NSW,New England,6552,0
NSW,Newcastle,8865,0
NSW,North Sydney,10364,0
NSW,Page,7884,0
NSW,Parkes,7750,0
NSW,Parramatta,9215,0
NSW,Paterson,8050,0
NSW,Reid,9254,0
NSW,Richmond,7475,0
NSW,Riverina,6769,0
NSW,Robertson,8372,4
NSW,Shortland,9364,0
NSW,Sydney,9909,0
NSW,Warringah,8137,0
NSW,Watson,7065,0
NSW,Wentworth,9496,0
NSW,Werriwa,8170,0
NSW,Whitlam,7650,1
NT,Lingiari,2094,0
NT,Solomon,3020,0
QLD,Blair,13085,0
QLD,Bonner,12580,0
QLD,Bowman,13142,0
QLD,Brisbane,12926,0
QLD,Capricornia,9599,0
QLD,Dawson,7052,0
QLD,Dickson,14097,0
QLD,Fadden,13910,0
QLD,Fairfax,10412,0
QLD,Fisher,11838,0
QLD,Flynn,11158,0
QLD,Forde,13744,0
QLD,Griffith,11625,0
QLD,Groom,13380,0
QLD,Herbert,10323,0
QLD,Hinkler,9976,0
QLD,Kennedy,8684,0
QLD,Leichhardt,8595,0
QLD,Lilley,11433,0
QLD,Longman,14041,0
QLD,Maranoa,14579,0
QLD,McPherson,10005,0
QLD,Moncrieff,12183,0
QLD,Moreton,10882,0
QLD,Oxley,9725,0
QLD,Petrie,13109,0
QLD,Rankin,11175,0
QLD,Ryan,11051,0
QLD,Wide Bay,10196,0
QLD,Wright,14299,0
SA,Adelaide,12559,0
SA,Barker,9137,0
SA,Boothby,12730,0
SA,Grey,9274,0
SA,Hindmarsh,12199,0
SA,Kingston,11503,0
SA,Makin,11235,0
SA,Mayo,11464,0
SA,Spence,11581,0
SA,Sturt,15825,0
TAS,Bass,8782,0
TAS,Braddon,6023,0
TAS,Clark,6811,0
TAS,Franklin,7665,0
TAS,Lyons,8169,0
VIC,Aston,11517,112
VIC,Ballarat,8037,0
VIC,Bendigo,9225,0
VIC,Bruce,10348,75
VIC,Calwell,8574,0
VIC,Casey,11579,18
VIC,Chisholm,12011,88
VIC,Cooper,9187,0
VIC,Corangamite,11210,85
VIC,Corio,9853,93
VIC,Deakin,13579,148
VIC,Dunkley,11142,73
VIC,Flinders,10884,40
VIC,Fraser,9236,0
VIC,Gellibrand,8937,0
VIC,Gippsland,6808,0
VIC,Goldstein,11837,0
VIC,Gorton,10200,0
VIC,Hawke,9480,0
VIC,Higgins,11616,0
VIC,Holt,8641,9
VIC,Hotham,10174,0
VIC,Indi,9769,0
VIC,Isaacs,9885,0
VIC,Jagajaga,9790,0
VIC,Kooyong,11634,0
VIC,La Trobe,12116,104
VIC,Lalor,8180,0
VIC,Macnamara,14903,0
VIC,Mallee,9657,0
VIC,Maribyrnong,11477,0
VIC,McEwen,11628,0
VIC,Melbourne,10675,0
VIC,Menzies,13049,103
VIC,Monash,8154,0
VIC,Nicholls,7255,0
VIC,Scullin,9175,0
VIC,Wannon,8352,0
VIC,Wills,9752,0
WA,Brand,8825,0
WA,Burt,7812,0
WA,Canning,8527,0
WA,Cowan,8792,0
WA,Curtin,10159,0
WA,Durack,7540,0
WA,Forrest,6966,0
WA,Fremantle,8829,0
WA,Hasluck,9082,0
WA,Moore,9514,0
WA,O'Connor,8146,0
WA,Pearce,8828,0
WA,Perth,10068,0
WA,Swan,9068,0
WA,Tangney,9973,0
