State,Division,Valid Apps Received,Postal Votes Returned
ACT,Bean,6837,817
ACT,Canberra,8438,881
ACT,Fenner,6636,849
NSW,Banks,9368,1070
NSW,Barton,8559,935
NSW,Bennelong,11927,144
NSW,Berowra,10077,85
NSW,Blaxland,8259,915
NSW,Bradfield,10732,118
NSW,Calare,6881,451
NSW,Chifley,9222,682
NSW,Cook,10735,1388
NSW,Cowper,8328,677
NSW,Cunningham,8767,386
NSW,Dobell,9181,1537
NSW,Eden-Monaro,9444,904
NSW,Farrer,10078,1391
NSW,Fowler,8080,821
NSW,Gilmore,9650,281
NSW,Grayndler,8564,857
NSW,Greenway,9892,865
NSW,Hughes,8579,853
NSW,Hume,11438,635
NSW,Hunter,9635,1297
NSW,Kingsford Smith,9391,1025
NSW,Lindsay,11027,888
NSW,Lyne,9168,1255
NSW,Macarthur,9490,1068
NSW,Mackellar,9443,119
NSW,Macquarie,8524,655
NSW,McMahon,9137,895
NSW,Mitchell,14018,1696
NSW,New England,7564,551
NSW,Newcastle,9986,1200
NSW,North Sydney,12095,149
NSW,Page,8981,645
NSW,Parkes,8682,888
NSW,Parramatta,11133,1336
NSW,Paterson,9316,1310
NSW,Reid,11205,1504
NSW,Richmond,8661,88
NSW,Riverina,7577,1083
NSW,Robertson,9597,1492
NSW,Shortland,10448,1038
NSW,Sydney,11773,1070
NSW,Warringah,9337,74
NSW,Watson,8642,977
NSW,Wentworth,10874,1105
NSW,Werriwa,10133,1169
NSW,Whitlam,8764,544
NT,Lingiari,2366,9
NT,Solomon,3485,17
QLD,Blair,16161,1473
QLD,Bonner,16673,1576
QLD,Bowman,16664,1996
QLD,Brisbane,15552,1901
QLD,Capricornia,10905,251
QLD,Dawson,8252,566
QLD,Dickson,17498,2022
QLD,Fadden,18042,732
QLD,Fairfax,12171,469
QLD,Fisher,15840,622
QLD,Flynn,12575,76
QLD,Forde,17720,718
QLD,Griffith,14136,1436
QLD,Groom,18035,2145
QLD,Herbert,12614,92
QLD,Hinkler,11506,1141
QLD,Kennedy,9654,282
QLD,Leichhardt,10546,421
QLD,Lilley,13951,1756
QLD,Longman,17951,2222
QLD,Maranoa,16371,1735
QLD,McPherson,11984,1218
QLD,Moncrieff,15804,575
QLD,Moreton,13384,1399
QLD,Oxley,12127,1361
QLD,Petrie,17206,1970
QLD,Rankin,13674,1781
QLD,Ryan,13174,1420
QLD,Wide Bay,11897,598
QLD,Wright,18426,1575
SA,Adelaide,15119,65
SA,Barker,11595,100
SA,Boothby,15119,341
SA,Grey,12617,1
SA,Hindmarsh,14780,4
SA,Kingston,13810,5
SA,Makin,13239,50
SA,Mayo,13463,148
SA,Spence,13839,0
SA,Sturt,18888,1008
TAS,Bass,10121,295
TAS,Braddon,7086,150
TAS,Clark,7986,1727
TAS,Franklin,8882,1560
TAS,Lyons,9564,856
VIC,Aston,13208,3343
VIC,Ballarat,9597,273
VIC,Bendigo,10721,2415
VIC,Bruce,12737,3888
VIC,Calwell,11623,2111
VIC,Casey,13441,2911
VIC,Chisholm,14489,3141
VIC,Cooper,11124,701
VIC,Corangamite,13736,2989
VIC,Corio,11959,3951
VIC,Deakin,16963,3725
VIC,Dunkley,13302,3213
VIC,Flinders,12575,3673
VIC,Fraser,11765,1020
VIC,Gellibrand,11358,1476
VIC,Gippsland,7872,775
VIC,Goldstein,13883,2964
VIC,Gorton,13256,1314
VIC,Hawke,11930,1392
VIC,Higgins,13710,860
VIC,Holt,10788,3013
VIC,Hotham,13384,3197
VIC,Indi,11267,333
VIC,Isaacs,12434,2674
VIC,Jagajaga,11905,882
VIC,Kooyong,13829,840
VIC,La Trobe,14480,4053
VIC,Lalor,10261,1002
VIC,Macnamara,17288,645
VIC,Mallee,11087,1023
VIC,Maribyrnong,14141,2924
VIC,McEwen,14624,2817
VIC,Melbourne,13036,781
VIC,Menzies,15421,3777
VIC,Monash,9558,1037
VIC,Nicholls,8364,854
VIC,Scullin,11980,3004
VIC,Wannon,10621,234
VIC,Wills,12246,2038
WA,Brand,10176,20
WA,Burt,9213,994
WA,Canning,11748,347
WA,Cowan,10399,0
WA,Curtin,12629,0
WA,Durack,9756,107
WA,Forrest,10007,525
WA,Fremantle,10404,15
WA,Hasluck,11301,45
WA,Moore,12578,0
WA,O'Connor,10954,171
WA,Pearce,11046,0
WA,Perth,11626,0
WA,Swan,11789,30
WA,Tangney,12569,874
