State,Division,Valid Apps Received,Postal Votes Returned
ACT,Bean,6233,418
ACT,Canberra,7820,446
ACT,Fenner,6040,368
NSW,Banks,8466,58
NSW,Barton,7636,37
NSW,Bennelong,10787,58
NSW,Berowra,9223,64
NSW,Blaxland,7226,58
NSW,Bradfield,9849,70
NSW,Calare,6450,0
NSW,Chifley,8187,79
NSW,Cook,10099,93
NSW,Cowper,7681,0
NSW,Cunningham,8057,157
NSW,Dobell,8476,183
NSW,Eden-Monaro,8690,414
NSW,Farrer,9486,670
NSW,Fowler,7056,55
NSW,Gilmore,8942,57
NSW,Grayndler,7762,190
NSW,Greenway,8859,73
NSW,Hughes,7807,67
NSW,Hume,10650,257
NSW,Hunter,9025,744
NSW,Kingsford Smith,8550,273
NSW,Lindsay,10203,122
NSW,Lyne,8550,652
NSW,Macarthur,8445,52
NSW,Mackellar,8628,94
NSW,Macquarie,7804,57
NSW,McMahon,8007,57
NSW,Mitchell,12974,77
NSW,New England,6992,95
NSW,Newcastle,9358,740
NSW,North Sydney,11021,121
NSW,Page,8329,108
NSW,Parkes,8179,102
NSW,Parramatta,9939,62
NSW,Paterson,8604,828
NSW,Reid,10010,101
NSW,Richmond,7979,46
NSW,Riverina,7117,516
NSW,Robertson,8892,158
NSW,Shortland,9777,668
NSW,Sydney,10666,360
NSW,Warringah,8594,47
NSW,Watson,7665,72
NSW,Wentworth,10052,360
NSW,Werriwa,8876,36
NSW,Whitlam,8132,405
NT,Lingiari,2216,0
NT,Solomon,3204,0
QLD,Blair,14643,589
QLD,Bonner,15273,695
QLD,Bowman,15478,817
QLD,Brisbane,13947,888
QLD,Capricornia,10131,2
QLD,Dawson,7583,222
QLD,Dickson,15894,840
QLD,Fadden,15740,344
QLD,Fairfax,11148,0
QLD,Fisher,14300,0
QLD,Flynn,11768,1
QLD,Forde,15567,656
QLD,Griffith,12622,578
QLD,Groom,16484,493
QLD,Herbert,11066,90
QLD,Hinkler,10659,161
QLD,Kennedy,9076,0
QLD,Leichhardt,9235,0
QLD,Lilley,12555,806
QLD,Longman,16270,782
QLD,Maranoa,15370,646
QLD,McPherson,10768,790
QLD,Moncrieff,13633,571
QLD,Moreton,11939,593
QLD,Oxley,10578,573
QLD,Petrie,15372,782
QLD,Rankin,12129,687
QLD,Ryan,11869,601
QLD,Wide Bay,10873,56
QLD,Wright,16373,529
SA,Adelaide,13786,6
SA,Barker,10207,6
SA,Boothby,13988,0
SA,Grey,11639,0
SA,Hindmarsh,13488,0
SA,Kingston,12690,0
SA,Makin,12306,0
SA,Mayo,12493,0
SA,Spence,12714,0
SA,Sturt,17452,66
TAS,Bass,9486,0
TAS,Braddon,6673,0
TAS,Clark,7515,0
TAS,Franklin,8365,0
TAS,Lyons,8922,0
VIC,Aston,12048,1193
VIC,Ballarat,8532,1
VIC,Bendigo,9708,0
VIC,Bruce,11018,793
VIC,Calwell,9352,0
VIC,Casey,12191,366
VIC,Chisholm,12784,1044
VIC,Cooper,9756,2
VIC,Corangamite,11907,340
VIC,Corio,10417,691
VIC,Deakin,14976,1220
VIC,Dunkley,11783,74
VIC,Flinders,11424,350
VIC,Fraser,10014,705
VIC,Gellibrand,9603,0
VIC,Gippsland,7117,0
VIC,Goldstein,12555,695
VIC,Gorton,11014,810
VIC,Hawke,10213,86
VIC,Higgins,12229,0
VIC,Holt,9236,219
VIC,Hotham,11227,792
VIC,Indi,10240,1
VIC,Isaacs,10741,482
VIC,Jagajaga,10417,0
VIC,Kooyong,12306,0
VIC,La Trobe,12739,876
VIC,Lalor,8764,0
VIC,Macnamara,15640,0
VIC,Mallee,10113,0
VIC,Maribyrnong,12301,0
VIC,McEwen,12344,0
VIC,Melbourne,11386,0
VIC,Menzies,13767,1103
VIC,Monash,8555,0
VIC,Nicholls,7587,0
VIC,Scullin,9947,0
VIC,Wannon,9148,1
VIC,Wills,10506,0
WA,Brand,9209,0
WA,Burt,8238,0
WA,Canning,9077,0
WA,Cowan,9350,0
WA,Curtin,10871,0
WA,Durack,8043,0
WA,Forrest,7818,0
WA,Fremantle,9355,0
WA,Hasluck,9747,0
WA,Moore,10174,0
WA,O'Connor,8956,0
WA,Pearce,9430,0
WA,Perth,10629,0
WA,Swan,9898,0
WA,Tangney,10831,0
