State,Division,Valid Apps Received,Postal Votes Returned
ACT,Bean,7906,4039
ACT,Canberra,9651,4203
ACT,Fenner,7724,3855
NSW,Banks,10930,6371
NSW,Barton,10312,5528
NSW,Bennelong,13995,7462
NSW,Berowra,11657,6312
NSW,Blaxland,10459,5497
NSW,Bradfield,12317,6453
NSW,Calare,7732,3615
NSW,Chifley,11225,5900
NSW,Cook,12128,7219
NSW,Cowper,9489,4453
NSW,Cunningham,9886,5908
NSW,Dobell,10489,6017
NSW,Eden-Monaro,10595,5294
NSW,Farrer,11487,5915
NSW,Fowler,9845,5299
NSW,Gilmore,10841,6216
NSW,Grayndler,9844,4540
NSW,Greenway,11850,6163
NSW,Hughes,9786,5714
NSW,Hume,13014,6311
NSW,Hunter,10767,6345
NSW,Kingsford Smith,10907,5321
NSW,Lindsay,12515,6885
NSW,Lyne,10199,6197
NSW,Macarthur,11590,6118
NSW,Mackellar,10847,6037
NSW,Macquarie,9593,5117
NSW,McMahon,11252,6107
NSW,Mitchell,16105,9070
NSW,New England,8618,4504
NSW,Newcastle,11131,6445
NSW,North Sydney,13823,7043
NSW,Page,10038,5668
NSW,Parkes,9664,4132
NSW,Parramatta,13517,7113
NSW,Paterson,10419,6272
NSW,Reid,13440,7042
NSW,Richmond,9825,4907
NSW,Riverina,8355,4393
NSW,Robertson,10888,6472
NSW,Shortland,11579,7089
NSW,Sydney,13695,5868
NSW,Warringah,10546,5143
NSW,Watson,10690,5742
NSW,Wentworth,12389,5657
NSW,Werriwa,12732,6603
NSW,Whitlam,9873,6070
NT,Lingiari,2690,657
NT,Solomon,3895,1369
QLD,Blair,20191,8576
QLD,Bonner,20794,10849
QLD,Bowman,20360,11185
QLD,Brisbane,18295,8270
QLD,Capricornia,12179,4916
QLD,Dawson,9468,4651
QLD,Dickson,21051,11301
QLD,Fadden,22262,8908
QLD,Fairfax,13871,7232
QLD,Fisher,19584,9296
QLD,Flynn,13916,4945
QLD,Forde,22436,8164
QLD,Griffith,16876,8047
QLD,Groom,22041,12124
QLD,Herbert,15934,7552
QLD,Hinkler,12778,7902
QLD,Kennedy,10618,4579
QLD,Leichhardt,12955,5890
QLD,Lilley,16214,9083
QLD,Longman,21963,11581
QLD,Maranoa,17938,10033
QLD,McPherson,13938,6410
QLD,Moncrieff,19794,7590
QLD,Moreton,15957,7688
QLD,Oxley,14709,7029
QLD,Petrie,21467,11262
QLD,Rankin,16167,8733
QLD,Ryan,15163,8147
QLD,Wide Bay,13555,6687
QLD,Wright,22954,9402
SA,Adelaide,17392,9005
SA,Barker,13822,6203
SA,Boothby,18152,9062
SA,Grey,14972,6683
SA,Hindmarsh,17096,9577
SA,Kingston,16525,8559
SA,Makin,15890,8797
SA,Mayo,15513,8153
SA,Spence,17022,8754
SA,Sturt,21033,12166
TAS,Bass,11192,5935
TAS,Braddon,7762,4003
TAS,Clark,8825,4695
TAS,Franklin,9759,5378
TAS,Lyons,10663,5999
VIC,Aston,14782,9142
VIC,Ballarat,11096,5516
VIC,Bendigo,11984,6282
VIC,Bruce,15248,9180
VIC,Calwell,15594,8102
VIC,Casey,15180,9181
VIC,Chisholm,17005,9477
VIC,Cooper,13281,6904
VIC,Corangamite,15871,9002
VIC,Corio,13740,8436
VIC,Deakin,19659,11167
VIC,Dunkley,15461,8358
VIC,Flinders,13888,8402
VIC,Fraser,14564,7077
VIC,Gellibrand,13741,6984
VIC,Gippsland,8793,5179
VIC,Goldstein,15538,7703
VIC,Gorton,16643,8577
VIC,Hawke,14106,7192
VIC,Higgins,15863,7659
VIC,Holt,13312,7424
VIC,Hotham,16293,9001
VIC,Indi,12503,6359
VIC,Isaacs,14714,7877
VIC,Jagajaga,13769,7759
VIC,Kooyong,16007,8641
VIC,La Trobe,16674,9681
VIC,Lalor,12666,6365
VIC,Macnamara,19550,9615
VIC,Mallee,12325,6505
VIC,Maribyrnong,16631,9371
VIC,McEwen,17291,8552
VIC,Melbourne,15714,6653
VIC,Menzies,17753,10617
VIC,Monash,10862,5918
VIC,Nicholls,9444,5221
VIC,Scullin,14714,8458
VIC,Wannon,12416,5568
VIC,Wills,14821,7634
WA,Brand,11643,4286
WA,Burt,10755,5040
WA,Canning,13166,4362
WA,Cowan,11961,4413
WA,Curtin,14403,4141
WA,Durack,10987,3330
WA,Forrest,11060,4770
WA,Fremantle,11710,4218
WA,Hasluck,13043,4645
WA,Moore,13976,4759
WA,O'Connor,12123,4221
WA,Pearce,12719,4002
WA,Perth,13099,4830
WA,Swan,13996,4625
WA,Tangney,14417,5750
