State,Division,Valid Apps Received,Postal Votes Returned
ACT,Bean,5534,0
ACT,Canberra,7015,0
ACT,Fenner,5383,0
NSW,Banks,7430,0
NSW,Barton,6613,0
NSW,Bennelong,9518,0
NSW,Berowra,8021,0
NSW,Blaxland,6142,0
NSW,Bradfield,8446,0
NSW,Calare,5806,0
NSW,Chifley,7058,0
NSW,Cook,9020,0
NSW,Cowper,6673,0
NSW,Cunningham,7168,0
NSW,Dobell,7535,0
NSW,Eden-Monaro,7765,0
NSW,Farrer,8490,0
NSW,Fowler,5983,0
NSW,Gilmore,7817,0
NSW,Grayndler,6876,0
NSW,Greenway,7611,0
NSW,Hughes,6837,0
NSW,Hume,9421,0
NSW,Hunter,8098,0
NSW,Kingsford Smith,7551,0
NSW,Lindsay,8808,0
NSW,Lyne,7566,0
NSW,Macarthur,7389,0
NSW,Mackellar,7590,0
NSW,Macquarie,7044,0
NSW,McMahon,6914,0
NSW,Mitchell,11520,0
NSW,New England,6128,0
NSW,Newcastle,8417,0
NSW,North Sydney,9754,0
NSW,Page,7419,0
NSW,Parkes,7293,0
NSW,Parramatta,8568,0
NSW,Paterson,7612,0
NSW,Reid,8635,0
NSW,Richmond,6945,0
NSW,Riverina,6382,0
NSW,Robertson,7941,0
NSW,Shortland,8869,0
NSW,Sydney,9344,0
NSW,Warringah,7635,0
NSW,Watson,6550,0
NSW,Wentworth,8993,0
NSW,Werriwa,7474,0
NSW,Whitlam,7156,0
NT,Lingiari,1937,0
NT,Solomon,2769,0
QLD,Blair,11442,0
QLD,Bonner,10723,0
QLD,Bowman,11579,0
QLD,Brisbane,12002,0
QLD,Capricornia,9148,0
QLD,Dawson,6620,0
QLD,Dickson,12309,0
QLD,Fadden,12074,0
QLD,Fairfax,9832,0
QLD,Fisher,10320,0
QLD,Flynn,10688,0
QLD,Forde,12281,0
QLD,Griffith,10763,0
QLD,Groom,11515,0
QLD,Herbert,9124,0
QLD,Hinkler,9486,0
QLD,Kennedy,8287,0
QLD,Leichhardt,7610,0
QLD,Lilley,10531,0
QLD,Longman,12068,0
QLD,Maranoa,13973,0
QLD,McPherson,9379,0
QLD,Moncrieff,10382,0
QLD,Moreton,10003,0
QLD,Oxley,9124,0
QLD,Petrie,11254,0
QLD,Rankin,10416,0
QLD,Ryan,10277,0
QLD,Wide Bay,9678,0
QLD,Wright,12344,0
SA,Adelaide,11561,0
SA,Barker,7865,0
SA,Boothby,11852,0
SA,Grey,7721,0
SA,Hindmarsh,11206,0
SA,Kingston,10604,0
SA,Makin,10399,0
SA,Mayo,10738,0
SA,Spence,10726,0
SA,Sturt,14069,0
TAS,Bass,8305,0
TAS,Braddon,5725,0
TAS,Clark,6482,0
TAS,Franklin,7287,0
TAS,Lyons,7798,0
VIC,Aston,10850,0
VIC,Ballarat,7477,0
VIC,Bendigo,8630,0
VIC,Bruce,9546,0
VIC,Calwell,7669,0
VIC,Casey,10914,0
VIC,Chisholm,11195,0
VIC,Cooper,8093,0
VIC,Corangamite,10440,0
VIC,Corio,9032,0
VIC,Deakin,11835,0
VIC,Dunkley,10198,0
VIC,Flinders,10102,0
VIC,Fraser,8297,0
VIC,Gellibrand,7985,0
VIC,Gippsland,6418,0
VIC,Goldstein,10967,0
VIC,Gorton,9096,0
VIC,Hawke,8503,0
VIC,Higgins,10621,0
VIC,Holt,7721,0
VIC,Hotham,9129,0
VIC,Indi,9208,0
VIC,Isaacs,8950,0
VIC,Jagajaga,9024,0
VIC,Kooyong,10654,0
VIC,La Trobe,11396,0
VIC,Lalor,7468,0
VIC,Macnamara,13728,0
VIC,Mallee,9142,0
VIC,Maribyrnong,10457,0
VIC,McEwen,10661,0
VIC,Melbourne,9516,0
VIC,Menzies,12194,0
VIC,Monash,7600,0
VIC,Nicholls,6873,0
VIC,Scullin,8219,0
VIC,Wannon,7497,0
VIC,Wills,8839,0
WA,Brand,8330,0
WA,Burt,7295,0
WA,Canning,7972,0
WA,Cowan,8004,0
WA,Curtin,9476,0
WA,Durack,7020,0
WA,Forrest,6524,0
WA,Fremantle,8233,0
WA,Hasluck,8467,0
WA,Moore,8973,0
WA,O'Connor,7596,0
WA,Pearce,8230,0
WA,Perth,9104,0
WA,Swan,8434,0
WA,Tangney,9241,0
